state,municipio,SALARIOS,rural_wage_clause,rural_wage_min_reis,rural_wage_max_reis,rural_wage_period,carpinteiro_wage_clause,carpinteiro_wage_min_reis,carpinteiro_wage_max_reis,carpinteiro_wage_period,JUROS,juros_lower_bound,juros_upper_bound,juros_period,TERRAS,land_price_text,land_price_lower_bound_reis,land_price_upper_bound_reis,land_price_unit,land_price_not_per_hectare
GO,Posse,"Um trabalhador rural ganha 500 réis diários; um cozinheiro, de 6$000 a 10$000 mensais; as lavadeiras cobram 20 réis por peça de roupa a lavar; um carpinteiro ganha de 2$000 a 3$000 diários; não há administradores nem escrivães de fazenda. Os salários são pagos e os contratos cumpridos.",Um trabalhador rural ganha 500 réis diários,500,,daily,um carpinteiro ganha de 2$000 a 3$000 diários,2000,3000,daily,A taxa é de 2% mensais.,2,2,monthly,"Qualidades - No município há terras de todas as qualidades boas, regulares e inferiores. A vegetação é muito viçosa durante a estação das chuvas. ""Preços—Um hectare de terras boas custa 1$200, mais ou menos.","Preços—Um hectare de terras boas custa 1$200, mais ou menos.",1200,1200,hectare,0
GO,Pouso Alto,"Um trabalhador rural ganha 15000 diarios ou 25000 mensões; administradores e escrivães de fazenda, não há; existem vaqueiros que ganham 500000 annuaes; um carpinteiro 45000 a 65000 diarios; uma cozinheira 105000 mensões; uma lavadeira, 55000 mensões. Os salarios e contractos são geralmente pagos e cumpridos.",Um trabalhador rural ganha 15000 diarios ou 25000 mensões,1000,,daily,um carpinteiro 45000 a 65000 diarios,45000,65000,daily,Taxa de 12 % annuaes.,12,12,annual,"Qualidades - As terras são geralmente bôas; regulares, em uma ou outra parte do município; inferiores, são unicamente as pequenas extensões das terras dos cerrados; quase todas são argilosas, poucas arenosas, e misturadas. O município, compuanto plano, tem pequenas partes accidentadas. As terras são frescas e enxutas, não há terras pedregosas, nem pantanosas. A vegetação é representada em sua maioria, por mattas virgens, capoeiras, bons campos e poucos cerrados. Não há carrascaes. "" Preços — Um hectare de terra bôa custa de 45000 a 55000, approximadamente.","Preços — Um hectare de terra bôa custa de 45000 a 55000, approximadamente.",4000,5000,hectare,0
GO,Pyrenopolis,"O trabalhador rural ganha 1$000 diarios; um cozinheiro, de 10$000 a 15$000 mensais; as lavadeiras ganham 40 réis por peça de roupa a lavar; um carpinteiro, de 3$000 a 5$000 diarios; não ha administradores nem escrivães de fazenda. Os salarios são pagos e os contratos cumpridos.",O trabalhador rural ganha 1$000 diarios,1000,,daily,"um carpinteiro, de 3$000 a 5$000 diarios",3000,5000,daily,Não ha taxa fixa.,,,,"O município tem terras de toda sorte, boas, regulares e inferiores; umas são misturadas, outras arenosas e argilosas; ora planas, ora montanhosas. A vegetação é representada por boas mattas, capoeiras, cerrados, carrascaes e campos. "" Preços — Um hectare de terras boas custa mais ou menos de 2$000 a 2$400.",Preços — Um hectare de terras boas custa mais ou menos de 2$000 a 2$400.,2000,2400,hectare,0
GO,Rio Bonito,"Trabalhador rural ganha 1$500 a 2$000 com comida ou 2$500 a 3$000 a secco; cozinheira, 12$000 a 15$000 mensais; lavadeira, 10$000; carpinteiro, 5$000 a 6$000 por dia. Não há escrivães nem administradores de fazenda. Os salarios são pagos e os contractos cumpridos.",Trabalhador rural ganha 1$500 a 2$000 com comida ou 2$500 a 3$000 a secco,1500,2000,,"carpinteiro, 5$000 a 6$000 por dia",5000,6000,daily,1 ½ a 2 “j” ao mez.,1,2,monthly,"Qualidades - Em sua maioria planas e bôas, parte argillosas, parte arenosas; há poucas regulares e inferiores. A vegetação é representada em grande parte por mattas virgens, capoeiras e bôa parte de cerrados e muitos campos. Preços — O preço de um hectare de terra varia de 4$000 até 10$000, conforme a qualidade e situação dos terrenos.","Preços — O preço de um hectare de terra varia de 4$000 até 10$000, conforme a qualidade e situação dos terrenos.",4000,10000,hectare,0
GO,Rio Verde,"Um trabalhador rural, ganha 1$000 a 2$000 diarios; um vaqueiro ou ganha de 60$000 a 80$000, mensaes, ou tem percentagem na produção do gado de que toma conta, a qual é de 25%*, das crias. Não ha escrivães de fazenda. Um carpinteiro ganha de 5$000 a 8$000, diarios, com comida; um cozinheiro, de 60$000 a 80$000 mensaes, (só para viagens distantes); uma lavadeira, de 20$000 a 30$000, mensaes. Os salarios são pagos e os contratos cumpridos.","Um trabalhador rural, ganha 1$000 a 2$000 diarios",1000,2000,daily,"Um carpinteiro ganha de 5$000 a 8$000, diarios, com comida",5000,8000,daily,"De 1 a 1 ½ *|*, ao mez.",1,1,monthly,"Qualidades - Em sua maioria bôas, argillosas e planas; havendo regulares, inferiores, arenosas e misturadas. A vegetação é representada por mattas virgens, muitos campos e cerrados e alguns carrascaes. "" Preços — Um alqueire de terra com 48.400,2, custa cerca de 4$000 a 5$000 em terreno de campo; de 20$000 a 25$000 em terreno de matta. Nas imediações da cidade, custa de 80$000 a 120$000.","Preços — Um alqueire de terra com 48.400,2, custa cerca de 4$000 a 5$000 em terreno de campo; de 20$000 a 25$000 em terreno de matta. Nas imediações da cidade, custa de 80$000 a 120$000.",4000,120000,alqueire,1
GO,Santa Cruz,"Um trabalhador rural ganha 18000 diários ou 208000 mensões; administradores nem escrivães de fazenda não há; os vaqueiros que tomam conta do gado ganham um quarto da criação, ou então 4008000 annuães; um carpinteiro ganha 28500 a 38000 diários; uma cozinheira, 58000 mensões; as lavadeiras cobram 500 réis por dúzia de roupa. Geralmente os salários são pagos e os contratos cumpridos.",Um trabalhador rural ganha 18000 diários ou 208000 mensões,1000,,daily,um carpinteiro ganha 28500 a 38000 diários,2500,3000,daily,"Geralmente a taxa é de 2°jª mensae, quando encontram prestamistas.",2,2,monthly,"Qualidades - As terras do município são: bôas, em sua maioria e regulares em pequena quantidade; inferiores, quase não há; argilosas, são apenas as das bacias dos rios Brumado e Caiapó; arenosas, as das margens dos rios Corumbá e do Peixe; misturadas, há poucas; são quase todas frescas e planas; montanhosas, são unicamente as dos valles dos rios do Peixe e Corumbá. A vegetação é representada por mattas virgens magníficas; bôas capoeiras; bons campos e alguns cerrados. Preços — Um hectare de terra bôa custa de 28000 a 38000, approximadamente.","Preços — Um hectare de terra bôa custa de 28000 a 38000, approximadamente.",2000,3000,hectare,0
GO,Santa Luzia,"O trabalhador rural ganha 1$000 diários; o cosinheiro, 15$000 mensais; as lavadeiras 500 réis por duzia de peças a lavar; um carpinteiro, de 4$000 a 5$000 diários; não há administradores nem escrivães de fazenda. Os salários são pagos e os contratos cumpridos.",O trabalhador rural ganha 1$000 diários,1000,,daily,"um carpinteiro, de 4$000 a 5$000 diários",4000,5000,daily,A taxa usual é de 1% ao mez.,1,1,monthly,"Qualidades - O município tem todas as variedades de terras, boas, regulares e inferiores; argillosas, misturadas e arenosas; planas, montanhosas, pedregosas e séccas. A vegetação é representada por mattas virgens, capoeiras, cerrados, carrascaes e campos. Preços — O preço de um hectare de terra bôa, é de 2$000 e talvez menos.","Preços — O preço de um hectare de terra bôa, é de 2$000 e talvez menos.",2000,2000,hectare,0
GO,Santa Rita do Paranahyba,"O trabalhador rural ganha de 1$500 a 2$000 diarios ou de 45$000 a 50$000 mensais; um cozinheiro, 15$000 mensais; uma lavadeira, de 10$000 a 12$000; um carpinteiro, de 4$000 a 5$000 diarios; não há administradores nem escrivães de fazenda; os vaqueiros encarregados da criação percebem ¼ da produção animal. Os salarios são pagos e os contractos cumpridos.",O trabalhador rural ganha de 1$500 a 2$000 diarios ou de 45$000 a 50$000 mensais,1500,2000,daily,"um carpinteiro, de 4$000 a 5$000 diarios",4000,5000,daily,A taxa é de 1 % ao mez.,1,1,monthly,"Qualidades - As terras são na geral bôas; são misturadas e montanhosas. A vegetação é representada por mattas-virgens magníficas, capoeiras, cerrados, carrascaes e campos. Preços — O hectare de terra bôa custa 6$000, mais ou menos.","Preços — O hectare de terra bôa custa 6$000, mais ou menos.",6000,6000,hectare,0
GO,São Domingos,"Um trabalhador rural ganha 800 réis diarios; não ha administradores nem escrivães de fazenda; o vaqueiro, verdadeiro administrador, ganha 25 *l*, sobre a produção da criação da qual toma conta; carpinteiro, 3$000 diarios; cozinheira ou lavadeira, 10$000 mensais. Os salarios são pagos e os contractos cumpridos.",Um trabalhador rural ganha 800 réis diarios,800,,daily,"carpinteiro, 3$000 diarios",3000,,daily,Não ha emprestimos.,,,,"Qualidades - As terras do município são em sua maioria bôas; em bôa parte misturadas, montanhosas e seccas; havendo algumas argillosas e arenosas. A vegetação é representada por mattas virgens, capoeiras, cerrados e muitos campos; não há carrascaes. Preços - Um hectare de terra boa custa 3$000, mais ou menos.","Preços - Um hectare de terra boa custa 3$000, mais ou menos.",3000,3000,hectare,0
GO,S. José do Tocantins,"Um trabalhador rural ganha 1.5000 diários; administradores e escrivães de fazenda não há; um carpinteiro ganha 3.5000 diários; um cozinheiro, 10.5000 mensões; as lavadeiras ganham, 40 réis por peça de roupa lavada. Os salários são pagos mas os contratos nem sempre são cumpridos por parte dos contractados.",Um trabalhador rural ganha 1.5000 diários,1500,,daily,um carpinteiro ganha 3.5000 diários,3500,,daily,Taxa de 12 “|” annuaes.,12,12,annual,"Qualidades - As terras do município são magníficas, cobertas de ricas mattas, de culturas e de campos de criar; são quase em geral pedregosas e montanhosas; não há terras pantanosas. Quanto à vegetação ela é representada por mattas virgens fertilíssimas, boas capoeiras, alguns cerrados e óptimos campos. Preços — Das terras pertencentes ao Estado, em mattas, custa 800 réis o hectare e em campos 500 réis. As terras de propriedade particular têm ainda menor preço.","Preços — Das terras pertencentes ao Estado, em mattas, custa 800 réis o hectare e em campos 500 réis. As terras de propriedade particular têm ainda menor preço.",500,800,hectare,0
GO,Sitio d'Abbadia,"Um trabalhador rural ganha 600 réis diários; não há administradores, nem escrivães de fazenda; carpinteiro, de 2$000 à 3$000 diários; os cosinheiros, tem salário variável; as lavadeiras cobram 20 réis por peça de roupa. Os salários são pagos, porém, os contratos nem sempre cumpridos.",Um trabalhador rural ganha 600 réis diários,600,,daily,"carpinteiro, de 2$000 à 3$000 diários",2000,3000,daily,Os agricultores tomam dinheiro para pagarem com produtos das suas colheitas.,,,,"Qualidades - O município possui bôas terras, cobertas de excelentes mattas, próprias para culturas diversas e de campos de crear. Estas terras são montanhosas e accidentadas em sua quasi generalidade. A vegetação é representada por mattas virgens, capoeiras, cerrados e campos. Preços - Um hectare de terra boa custa 1$200, approximadamente.","Preços - Um hectare de terra boa custa 1$200, approximadamente.",1200,1200,hectare,0
GO,Taguatinga,"Um trabalhador rural ganha 1$000 a sécco e 500 réis com comida; cozinheira, 10$000 mensões; lavadeira, 10$000 mensões; carpinteiro, 2$000 a 2$500 diarios; um vaqueiro ganha 25 *1/2 da produção animal. Não ha administradores nem escrivães de fazenda. Os salarios assim como os contractos, ora são pagos e cumpridos, ora não.",Um trabalhador rural ganha 1$000 a sécco e 500 réis com comida,500,1000,,"carpinteiro, 2$000 a 2$500 diarios",2000,2500,daily,Não ha taxa fixa.,,,,"Qualidades - As terras do município são em sua maioria bôas e misturadas, planas, séccas e pedregosas, havendo em menor número argillosas e arenosas. A vegetação é representada por mattas virgens, capoeiras, cerrados e campos. "" Preços — Um hectare de terra bôa custa 2$000, mais ou menos.","Preços — Um hectare de terra bôa custa 2$000, mais ou menos.",2000,2000,hectare,0
MG,Abbadia de Bom Successo,"Trabalhador rural, 2$000 diários, 60m sustento; carpinteiro, 5$000 diários; cozinheiro, 30$000 mensais; lavadeira, 800 réis por dozia de peças; não ha administrador, nem escrivão de fazenda. Os salários são pagos e os contratos cumpridos.","Trabalhador rural, 2$000 diários, 60m sustento",2000,,daily,"carpinteiro, 5$000 diários",5000,,daily,A taxa mais comum é de 18% ao anno.,18,18,annual,"Qualidades - Em sua maioria boas, argilosas, planas e secas; havendo também muitas regulares e arenosas. A vegetação é representada por muitas muitas virgens e capoeiras, alguns cerrados e campos e poucos carrascaes. Preços — Um hectare de terras boa, custa 25$000, mais ou menos.","Preços — Um hectare de terras boa, custa 25$000, mais ou menos.",25000,25000,hectare,0
MG,Abaeté,"Cozinheira, 10$000 mensões; lavadeira, 800 réis por gasto de uma libra de salão; carpinteiro, 3$000 a 7$000 diários; trabalhador rural, 1$000 diários com comida. Não há administradores nem escrivães de fazenda. Os salários são pagos, mas os contratos nem sempre são compridos.","trabalhador rural, 1$000 diários com comida",1000,,daily,"carpinteiro, 3$000 a 7$000 diários",3000,7000,daily,A taxa usual é de um a dois por cento ao mez.,1,2,monthly,"Qualidades - Há muita terra boa e algumas regulares, porém, na maioria são inferiores; são geralmente planas e argilosas em grande extensão; existindo, entretanto, alguns terrenos montanhosos e poucos pedregosos. A vegetação é representada por algumas matas virgens e capoeiras, vários cerrados e carraçaes e grande extensão de campos. Preços — Um alqueire de terra boa custa 20$000 a 30$000, mais ou menos.","Preços — Um alqueire de terra boa custa 20$000 a 30$000, mais ou menos.",20000,30000,alqueire,1
MG,Abre Campo,"Trabalhador rural, 1$000 por dia; cozinheiro, 10$000 mensais; não há administradores nem escritórios de fazenda. Os salários são pagos e os contratos cumpridos.","Trabalhador rural, 1$000 por dia",1000,,daily,,,,,A taxa mais comum é de 1% ao mez.,1,1,monthly,"Qualidades - Em sua maioria boas, há regulares e inferiores; misturadas, argilhosas e arenosas; montanhosas e planas. A vegetação é representada por algumas matas virgens, muitas capoeiras, cerradas, carrascaes e campos. "" Preços — O hectare de terra boa custa 40$000.",Preços — O hectare de terra boa custa 40$000.,40000,40000,hectare,0
MG,Aguas Virtuosas,"Cozinheira, 30$000 a 60$000 mensais; lavadeira, 20$000 a 30$000 mensais; e carpinteiro, 5$000 a 7$000 diários; trabalhador rural, 1$500 a 2$000. Não há escrivães nem administradores de fazenda porque os donos as administram. Os salários são pagos e os contratos cumpridos.","trabalhador rural, 1$500 a 2$000",1500,2000,,"e carpinteiro, 5$000 a 7$000 diários",5000,7000,daily,Doze por cento ao ano.,12,12,annual,"Qualidades - Na maior parte regulares, mais inferiores do que boas, que são poucas. Em sua maioria misturadas, argilhosas e aernosas. O terreno é muito montanhoso e pouco pedregoso. A vegetação é representada por mattas virgens, cerrados, capoeiras, campos e carrascaes. Preços — Um hectare de terra boa, informam, custa 150$000 a 200$000; sendo na villa custa até 600$000; entretanto estes preços são exagerados, pois há muita terra com preços muito e muito inferiores a estes.","Preços — Um hectare de terra boa, informam, custa 150$000 a 200$000; sendo na villa custa até 600$000; entretanto estes preços são exagerados, pois há muita terra com preços muito e muito inferiores a estes.",150000,600000,hectare,0
MG,Alfenas,"Trabalhador rural seja colono ou camarada, ganha 1$500 a 2$000 diários (dia de oito horas); administradores de fazenda, 100$000 a 150$000 mensais; não há escrivães de fazenda; cozinheiro, 3$000 mensões; as lavadeiras cobram 500 réis por duzia de peças; carpinteiro, 48000 a 58000 diários. Os salários são pagos e os contractos cumpridos.","Trabalhador rural seja colono ou camarada, ganha 1$500 a 2$000 diários (dia de oito horas)",1500,2000,daily,"carpinteiro, 48000 a 58000 diários",4000,5000,daily,"A taxa é de 1% ao mez. MADRIRAS de lei — Oleo, jacarandá, tinha, massaranduba, ipé, etc.",1,1,monthly,"Qualidades - Em sua maioria regulares, misturadas e planas; havendo boas, inferiores, arenosas, montanhosas e seccas. A vegetação é representada por muitas virgens, capoeiras e campos. Preços — Um hectare de terra boa custa 1008000.",Preços — Um hectare de terra boa custa 1008000.,100000,100000,hectare,0
MG,Alto Rio Doce,"Trabalhador rural, 1$800 a secco e 1$200 com comida; administradores e escrivães de fazenda não há; carpinteiro, 4$000 diários; cozinheira, 10$000 mensais; lavadeira, 7$000 mensais. Os salários são pagos e os contratos cumpridos.","Trabalhador rural, 1$800 a secco e 1$200 com comida",1200,1800,,"carpinteiro, 4$000 diários",4000,,daily,Não há taxa fixa visto não haver empréstimos.,,,,"Qualidades - Em sua maioria, bôas; havendo algumas regulares; no geral misturadas e montanhosas e algumas argilosas e arenosas. A vegetação é representada por algumas matras virgens, muitas ca- poeiras, poucos cerrados e carrascaes e alguns campos. Preços — Um hectare de terra boa custa 50$000, aproximadamente.","Preços — Um hectare de terra boa custa 50$000, aproximadamente.",50000,50000,hectare,0
MG,Alvinopolis,"Trabalhador rural, 18000 diários, com alimentação; não há administradores nem escrivães de fazenda; carpinteiros, 48000 diários; lavadeira, 58000 a 88000 mensais; cozinheira, 108000 a 158000 mensais. Os salários são pagos e os contratos cumpridos.","Trabalhador rural, 18000 diários, com alimentação",1000,,daily,"carpinteiros, 48000 diários",4000,,daily,A taxa é de 1°J ao mez.,1,1,monthly,"Qualidades - Em sua maioria bias; misturadas e montanhosas, havendo algumas regulares e pedregosas. A vegetação é representada por algumas mattas virgens e capoeiras, muitos campos e poucos cerrados. Preços - Um hectare de terra boa custa de 258000 a 308000, approximadamente.","Preços - Um hectare de terra boa custa de 258000 a 308000, approximadamente.",25000,30000,hectare,0
MG,Antonio Dias Abaixo,"Trabalhador rural 18000 a 18200 diários, com comida ou 28000 a 28500 a secos; cozinheira 68000 a 108000 mensajes; lavadeira 108000 mensajes; carpinteiro 38000 a 48000 diários. Não há administradores nem escrivães de fazenda. Os salários são pagos e os contratos cumpridos.","Trabalhador rural 18000 a 18200 diários, com comida ou 28000 a 28500 a secos",1000,1200,daily,carpinteiro 38000 a 48000 diários,3000,4000,daily,A taxa comum é de oito a doze por cento ao ano.,8,12,annual,"Qualidades - O município não possui terras inferiores, são quase todas boas, existindo algumas regulares. No geral misturadas, contendo alguma argilha e pouca areia; mais montanhosas do que planas. A vegetação é representada por muitas capoeiras, algumas matas virgens e poucos campos. Não há cerrados nem carrascaes. Preços — Um hectare de terra boa custa 258000 aproximadamente.",Preços — Um hectare de terra boa custa 258000 aproximadamente.,25000,25000,hectare,0
MG,Apparecida do Claudio,"Trabalhador rural, 1$500 a seção e 1$000 com comida; cozinha 10$000 mensais; lavadeira, 10$000 a 15$000 mensais; carpinte 4$000 diários. Não há administradores nem escrivães de fazenda. Os salários são pagos e os contratos cumpridos.","Trabalhador rural, 1$500 a seção e 1$000 com comida",1000,1500,,carpinte 4$000 diários,4000,,daily,Dez por cento ao ano.,10,10,annual,"Qualidades - São em sua maioria boas, havendo também regularidade e inferiores; ora arenosas, ora argilhosas e ora misturadas; mas planas que montanhosas. A vegetação é representada por malas virgens, muitas capoeiras, cerrados, campos e carrascaes.",,,,,
MG,Araguari,"Trabalhador rural, 18500 diários com comida; não há administradores nem escrivães de fazenda; cozinheiro, 308000 mensais; carpinteiro, 88000 a 108000 diários; lavadeira, 308000 mensais. Os salários são pagos e os contratos cumpridos.","Trabalhador rural, 18500 diários com comida",1500,,daily,"carpinteiro, 88000 a 108000 diários",8000,10000,daily,,,,,"Qualidades - Em sua maioria bós e algumas regulares; argilosas e arenosas; planas e secas. A vegetação é representada por matas virgens, capoeiras, cerrados e campos. Preços — Um hectare de terra boa custa 258000, mais ou menos.","Preços — Um hectare de terra boa custa 258000, mais ou menos.",25000,25000,hectare,0
MG,Arassuahy,"Trabalhador rural, de 600 a 800 réis por dia; cozinheiro, 5$000 a 10$000 mensais; lavadeira, 5$000 mensais; carpinteiro, 4$000 por dia; não há administradores nem escrivães de fazenda. Os salários são pagos e os contratos cumpridos.","Trabalhador rural, de 600 a 800 réis por dia",600,800,daily,"carpinteiro, 4$000 por dia",4000,,daily,A taxa é de 12°J ao anno.,12,12,annual,"Qualidades - Na maioria bôas e regulares; misturadas; planas na maior parte. A vegetação é representada por muitas matas, capoeiras e campos, poucos cerrados e carrascaes. “Preços — O hectare de terra bôa casta 20$000, mais ou menos.”","Preços — O hectare de terra bôa casta 20$000, mais ou menos.”",20000,20000,hectare,0
MG,Araxá,"Trabalhador rural, 35000 diários; rosinheira, 155000 mensais; lavadeira, 400 e 500 réis por duzia de peças; carpinteiro, 65000 diários; não há administradores nem escrivães de fazenda. Os salários são pagos e os contratos cumpridos.","Trabalhador rural, 35000 diários",3000,,daily,"carpinteiro, 65000 diários",65000,,daily,A taxa usual é de 1% ao mez.,1,1,monthly,"Qualidades - Na maioria regulares, misturadas, planas ou pouco accidentadas. Existem pequenas mattas, algumas capoeiras e muitos cerrados e campos, que são vastos e importantes. “Preços — O bexare de terra de cultura custa 755000; de campo, 75500.","Preços — O bexare de terra de cultura custa 755000; de campo, 75500.",7500,75000,hectare,0
MG,Arceburgo,"Trabalhador rural, de 2$000 a 3$000 por dia; cozinheiro, 25$000 mensais; lavadeira, 15$000 mensais; carpinteiro, 7$000 diários; administradores de fazenda, de 800$000 a 2.500$000 por anno; não há escrivães de fazenda. Os salários são pagos e os contratos cumpridos.","Trabalhador rural, de 2$000 a 3$000 por dia",2000,3000,daily,"carpinteiro, 7$000 diários",7000,,daily,A taxa comum é de 10% ao anno.,10,10,annual,"Qualidades - Ha muitas terras bóas, algumas regulares e poucas inferiores; são ora misturadas, ora argilhosas; geralmente montanhosas. A vegetação é representada por mattas, capoeiras, campos e poucos cerrados. “Preços — O preço das terras é muito variável.”",Preços — O preço das terras é muito variável.”,,,,
MG,Ayuruoca,"Trabalhador rural, 2$000 diários, à secco; não há administradores nem escrivães de fazenda; carpinteiro, 3$500 a 8$000 diários; cozinheira, 8$000 mensais; lavadeira, 8$000 mensais. Os salários são pagos e os contratos cumpridos. O trabalhador rural, 2$000 diários, (trabalhando oito horas) à sécco; cozinheira, 30$000 mensajes; lavadeiras, cobram 500 réis por duzia de peças; carpinteiro, 4$000 a 5$000 diários; não há administradores, nem escrivães de fazenda. Os salários são pagos e os contratos cumpridos.","Trabalhador rural, 2$000 diários, à secco",2000,,daily,"carpinteiro, 3$500 a 8$000 diários",3500,8000,daily,A taxa usual é de 12 por cento ao anno. A taxa é de seis a 10 por ¹² ao ano.,10,12,annual,"Qualidades - São bôas, regulares e inferiores. No geral montanhosas; parte argilosas e parte arenosas. A vegetação é representada por algumas matas virgens, carrascaes, campos e capoeiras, estas em maior proporção. Não há cerrados. Preços — O hectare de terra bôa custa 25$000, mais ou menos. Qualidades - Em sua maioria boas; misturadas; e montanhosas, pedregosas poucas. A vegetação é representada por mattas virgens, cerrados, carrascaes e campos. * Preços — Um hectare de terra boa custa 50$000 a 60$000, mais ou menos.","Preços — O hectare de terra bôa custa 25$000, mais ou menos.",25000,25000,hectare,0
MG,Baependy,"O trabalhador rural, 2$000 diários, (trabalhando oito horas) à sécco; cozinheira, 30$000 mensajes; lavadeiras, cobram 500 réis por duzia de peças; carpinteiro, 4$000 a 5$000 diários; não há administradores, nem escrivães de fazenda. Os salários são pagos e os contratos cumpridos.",,2000,,,"carpinteiro, 4$000 a 5$000 diários",4000,5000,daily,A taxa é de seis a 10 por ¹² ao ano.,10,10,annual,"Qualidades - Em sua maioria boas; misturadas; e montanhosas, pedregosas poucas. A vegetação é representada por mattas virgens, cerrados, carrascaes e campos. * Preços — Um hectare de terra boa custa 50$000 a 60$000, mais ou menos.","Preços — Um hectare de terra boa custa 50$000 a 60$000, mais ou menos.",50000,60000,hectare,0
MG,Bambuhy,"Trabalhador rural, 1$500 por dia; não ha administradores nem escrivães de fazenda; carpinteiro, 5$000 diários; cozinheiro, 10$000 a 15$000 meneses; lavadeira, 6$000 por mez (pela roupa de uma família). Os salários são pagos e os contratos cumpridos.","Trabalhador rural, 1$500 por dia",1500,,daily,"carpinteiro, 5$000 diários",5000,,daily,A taxa é de 8 a 10 % ao anno.,8,10,annual,"Qualidades - Ha muita terra boa e regular; inferior, não tanto; são geralmente argilosas. A vegetação é representada por poucas mattas, algumas capoeiras e muitos cerrados, carrascaes e campos. Preços — Um hectare de terra boa, pode custar 20$000.","Preços — Um hectare de terra boa, pode custar 20$000.",20000,20000,hectare,0
MG,Barbacena,"Trabalhador rural, 1$500 a 2$000 diários, a secco; administrador de fazenda, 100$000 a 125$000 mensais; carpinteiro, 5$000 a 6$000 diários; cozinheira, 15$000 a 30$000 mensais; lavadeira, 15$000 a 20$000 mensais. Os salários são pagos e os contratos cumpridos.","Trabalhador rural, 1$500 a 2$000 diários, a secco",1500,2000,daily,"carpinteiro, 5$000 a 6$000 diários",5000,6000,daily,A taxa comum é de 12 por cento ao ano.,12,12,annual,"Qualidades - Há boas, regulares e inferiores, em sua maioria misturadas e montanhoras; havendo algumas pedregosas. A vegetação é representada por muitos campos e algumas matas virgens, capoeiras, cerrados e carrascaes. Preços — Um hectare de terra para cultura custa, aproximadamente, 40$000 a 80$000; de campo, 25$000 a 50$000.","Preços — Um hectare de terra para cultura custa, aproximadamente, 40$000 a 80$000; de campo, 25$000 a 50$000.",25000,80000,hectare,0
MG,Bello Horizonte,"Trabalhador rural, 18200 a 18500 por dia; cozinheira, de 208000 a mais, mensais; lavandeira, 308000 mensais; carpinteiro, 58000 a 187000 diários; administrador de fazenda, 1508000 a 2508000 mensais; não há exercícios de fazenda. Os salários são pagos e os contratos cumpridos.","Trabalhador rural, 18200 a 18500 por dia",1200,1500,daily,"carpinteiro, 58000 a 187000 diários",1700,5000,daily,A taxa animal comum é de 6 º/º no Banco Hypothecário e de 12 º/º nos prestamistas.,6,12,annual,"Qualidades - As terras do município são na maioria regulares e inferiores e geralmente misturadas, montanhosas, e em grande parte pedregosas. A vegetação é representada por capoeiras, cerrados, carrascaes e campos; não há matas virgens. Preço — O hectare de terra boa, custa 2008000, mais ou menos havendo preços mais baixos.","Preço — O hectare de terra boa, custa 2008000, mais ou menos havendo preços mais baixos.",200000,200000,hectare,0
MG,Boa Vista do Tremendal,"Trabalhador rural, 500 réis a 1$000 diários; não há administradores, nem escrivães de fazenda; cozinheiro, 5$000 mensais; lavadeira é paga por peça; carpinteiro, 2$000 diários. Os salários são pagos e os contratos cumpridos.",,500,1000,,"carpinteiro, 2$000 diários",2000,,daily,A taxa é de 1 *1/2 ao mez.,0.5,1,monthly,"Qualidades - Na maioria bôas, havendo algumas regulares e inferiores; são quase todas planas. A vegetação é representada na maioria por capueiras, havendo muitos campos, alguns cerrados e carrascaes e muito poucas matas virgens. “Preços — Um hectare de terra bôa custa 1$000, mais ou menos.","Preços — Um hectare de terra bôa custa 1$000, mais ou menos.",1000,1000,hectare,0
MG,Bocayuva,"Trabalhador rural, 600 réis diários, com alimentação; cosinheiro ou lavadeira, 6$000 mensões; carpinteiro, 3$500 diários; não há administradores, nem cerivães de fazenda. Os salários são pagos e os contratos cumpridos.","Trabalhador rural, 600 réis diários, com alimentação",600,,daily,"carpinteiro, 3$500 diários",3500,,daily,A taxa é de um e meio a dois por cento ao mês.,1.5,2,monthly,"Qualidades - Em sua maioria boas, sendo ora argilosas, ora misturadas; ora planas, ora montanhosas. A vegetação é representada por muitas capoeiras, algumas mattas virgens e campos, poucos cerrados e carrascaes. ""Preços — Variam com as terras, regiões, qualidade, quantidade, etc., mas no geral regulam os preços ínfimos.","Preços — Variam com as terras, regiões, qualidade, quantidade, etc., mas no geral regulam os preços ínfimos.",,,,
MG,Bom Despacho,"Trabalhador rural, 1$500 diários, com alimento, ou 2$000 a secco; cozinheira, 10$000 mensais; lavadeira, 5$000 mensais; carpinteiro, 4$000 diários; não há administradores nem escrivães de fazenda. Os salários são pagos e os contratos nem sempre são cumpridos.","Trabalhador rural, 1$500 diários, com alimento, ou 2$000 a secco",1500,2000,daily,"carpinteiro, 4$000 diários",4000,,daily,Geralmente a taxa de 1% ao mês.,1,1,monthly,"Qualidades - O município possui terras boas, regulares e inferiores; umas são planas, outras montanhosas e em partes mais ou menos eguais, arenosas, argilosas e misturadas. A vegetação é representada por muitos campos e capoeiras e algumas mattas virgens, cerrados e carrascas. Preços — Um alqueire de terra boa para cultura custa 100$000 e de campo 10$000.",Preços — Um alqueire de terra boa para cultura custa 100$000 e de campo 10$000.,10000,100000,alqueire,1
