state;municipio;CUSTO_DOS_TECIDOS;JUROS;SALARIOS;TERRAS
MG;Bambuhy;O preço dos tecidos é calculado em 30 % sobre os do Rio de Janeiro e S. Paulo.;A taxa é de 8 a 10 % ao anno.;"Trabalhador rural, 1$500 por dia; não ha administradores nem escrivães de fazenda; carpinteiro, 5$000 diários; cozinheiro, 10$000 a 15$000 meneses; lavadeira, 6$000 por mez (pela roupa de uma família). Os salários são pagos e os contratos cumpridos.";"Qualidades - Ha muita terra boa e regular; inferior, não tanto; são geralmente argilosas. A vegetação é representada por poucas mattas, algumas capoeiras e muitos cerrados, carrascaes e campos. Preços — Um hectare de terra boa, pode custar 20$000."
MG;Barbacena;;A taxa comum é de 12 por cento ao ano.;"Trabalhador rural, 1$500 a 2$000 diários, a secco; administrador de fazenda, 100$000 a 125$000 mensais; carpinteiro, 5$000 a 6$000 diários; cozinheira, 15$000 a 30$000 mensais; lavadeira, 15$000 a 20$000 mensais. Os salários são pagos e os contratos cumpridos.";"Qualidades - Há boas, regulares e inferiores, em sua maioria misturadas e montanhoras; havendo algumas pedregosas. A vegetação é representada por muitos campos e algumas matas virgens, capoeiras, cerrados e carrascaes. Preços — Um hectare de terra para cultura custa, aproximadamente, 40$000 a 80$000; de campo, 25$000 a 50$000."
MG;Bello Horizonte;Varia de 500 réis a 8$000 o metro.;A taxa animal comum é de 6 º/º no Banco Hypothecário e de 12 º/º nos prestamistas.;"Trabalhador rural, 18200 a 18500 por dia; cozinheira, de 208000 a mais, mensais; lavandeira, 308000 mensais; carpinteiro, 58000 a 187000 diários; administrador de fazenda, 1508000 a 2508000 mensais; não há exercícios de fazenda. Os salários são pagos e os contratos cumpridos.";"Qualidades - As terras do município são na maioria regulares e inferiores e geralmente misturadas, montanhosas, e em grande parte pedregosas. A vegetação é representada por capoeiras, cerrados, carrascaes e campos; não há matas virgens. Preço — O hectare de terra boa, custa 2008000, mais ou menos havendo preços mais baixos."
MG;Bocayuva;Os tecidos communs regulam de 300 réis a 1$600, por metro.;A taxa é de um e meio a dois por cento ao mês.;"Trabalhador rural, 600 réis diários, com alimentação; cosinheiro ou lavadeira, 6$000 mensões; carpinteiro, 3$500 diários; não há administradores, nem cerivães de fazenda. Os salários são pagos e os contratos cumpridos.";"Qualidades - Em sua maioria boas, sendo ora argilosas, ora misturadas; ora planas, ora montanhosas. A vegetação é representada por muitas capoeiras, algumas mattas virgens e campos, poucos cerrados e carrascaes. ""Preços — Variam com as terras, regiões, qualidade, quantidade, etc., mas no geral regulam os preços ínfimos."
MG;Bom Despacho;"O metro de tecido nacional custa 400 réis a 1$000; quase não há tecidos estrangeiros.";Geralmente a taxa de 1% ao mês.;"Trabalhador rural, 1$500 diários, com alimento, ou 2$000 a secco; cozinheira, 10$000 mensais; lavadeira, 5$000 mensais; carpinteiro, 4$000 diários; não há administradores nem escrivães de fazenda. Os salários são pagos e os contratos nem sempre são cumpridos.";"Qualidades - O município possui terras boas, regulares e inferiores; umas são planas, outras montanhosas e em partes mais ou menos eguais, arenosas, argilosas e misturadas. A vegetação é representada por muitos campos e capoeiras e algumas mattas virgens, cerrados e carrascas. Preços — Um alqueire de terra boa para cultura custa 100$000 e de campo 10$000."
MG;Bomfim;Os tecidos nacionais e estrangeiros custam 30 *j* mais do que em Bello Horizonte e Rio de Janeiro.;A taxa usual é de 12 *j* ao anno.;"Trabalhador rural, 1$000 diários; carpinteira, 3$500 diários; cozinheira, de 8$000 a 10$000 mensais; lavadeira, 6$000 mensais; administradores de fazenda não há; escrivão de fazenda não há. Os salários são pagos e os contratos cumpridos.";"Qualidades - As terras podem ser mais ou menos assim divididas: boas e inferiores em partes talvez eguais, regulares em maior porção; geralmente misturadas; mais planas que montanhosas. A vegetação é representada por mattas virgens, capoeiras, cerrados, campos e poucos carrascaes. Preços - Um hectare de terra boa custa 60$000."
MG;Bom Successo;25% sobre os preços do Rio de Janeiro.;A taxa commun é de 8% a 10% ao ano.;"Trabalhador rural, 18800 diários; não há administradores, nem escrivães de fazenda; carpinteiro, 58000 diários; cosinheira, 108000 mensais; lavadeira, 58000 mensais. Os salários são pagos e os contratos cumpridos.";Qualidades - Em sua maioria regulares, havendo também boas e inferiores, no geral misturadas e sécas, metade, talvez, plana, metade, talvez, montanhosa. A sua vegetação é representada por muitos campos, algumas capoeiras e cerrados e poucas matas virgens e carrascaes. Preços — Um hectare de terra regula custar 508000, mais ou menos.
MG;Cabo Verde;O metro de tecidos nacionais ou estrangeiros custa 500 réis a 2$000.;A taxa é 1°/3° ao mez.;"Trabalhador rural 1$500 diários, cozinheira 1$000 diários, lavadeira 500 réis por dúzia de peças, carpinteiro 5$000 diários, administrador de fazenda 3$000 diários; não há escrivães de fazenda. Os salários são pagos e os contratos cumpridos.";"Qualidades - As terras do município pôde ser mais ou menos, assim divididas; boas a maior parte; regulares e inferiores pequena parte; há poucas argilhasas, são em sua maioria areossas e misturadas. A vegetação é representada por muitas muitas virgens, capoeiras, alguns carrascaes, cerrados e campos. Preços — O hectare de terra boa custa 408000 a 508000 mais ou menos."
MG;Caeté;O metro de tecido de algodão varia de 400 réis a 1$500, de 4ª e seda, de 3$000 a 12$000.;A taxa é de 12% ao asso.;"Trabalhador rural de 1$000 a 1$500 diários, com sustento; coziuleiro, de 10$000 a 15$000 mensais; carpinteiro, de 3$000 a 5$000 diários; administradores de fazenda, 150$000 mensais. Não usam escrivães nas fazendas. Os salários são pagos e os contratos cumpridos.";"Qualidades - Em sua maioria boas, algumas regulares e poucas inferiores; argilosas e misturadas; montanhosas e pedregosas. Preços — O hectare de terra boa custa 25$000, approximadamente."
MG;Caldas;Variam de 40 réis a mais, por metro.;A taxa comum é de 1 % ao mês.;"Trabalhador rural, 2$000 diários; não há administradores nem escrivães de fazenda; carpinteiro ganha 5$000 a 6$000 diários; cozinheira, 30$000 mensais; lavadeiras cobram 500 réis por duzia. Os salários são pagos e os contratos cumpridos.";"Qualidades - Na maioria são boas e regulares, de formação argilósilicosas, e montanhosas. A vegetação é representada por nuttas, capoeiras, alguns cerrados e carrascaes e muitos campos. - Preços — O hectare de terra boa custa 100$000 a 150$000; havendo preços menores."
MG;Cambuhy;"O metro de tecido nacional custa 400 réis a 1$000; estrangeiros, de 600 réis a 3$000.";A taxa usual é de 12% ao anno.;"Trabalhador rural, 1$500 diários e com comida ou 2$200 à século; carpinteiro, 6$000 diários; cozinheiro, 30$000 mensais; lavadeira, 20$000 mensais; administrador de fazenda, 1.800$000 anuções. Os salários são pagos e os contratos cumpridos.";"Qualidades - As terras podem ser divididas, mais ou menos, assim: bós e regulares em partes salves eguais; inferiores: menos do que as outras, isoladas. Argilhosas e arenosas poucas, misturadas muitas. "" Preços — Um hectare de terra bós custa 60$000, mais ou menos."
MG;Campanha;"O metro de tecidos nacionais custa de 300 a 500 réis; estrangeiros, pouco mais.";A taxa é de 12 % ao ano.;"Trabalhador rural 2$000 diários a secco e de 1$200 a 1$500 com comida; cozinheiro, 30$000 a 50$000 mensões; cozinheira, 16$000 a 20$000 mensões; lavadeira 15$000 a 20$000 mensões ou 1$000 por duzia de peças; carpinteiro 3$000 a 6$000 diários; administrador de fazenda 600$000 a 1.000$000 anngues, não há escrivães de fazenda. Os salários são pagos e os contratos cumpridos.";"Qualidades - Na maioria inferiores, havendo poucas bôas e regulares; no geral misturadas e montanhosas. A vegetação é representada por muitos campos algumas capoeiras e poucos carrascaes; não há muitas virgens. - Preços — Um hectare de terra bôa custa 200$000 approximadamente, porém há preços muito abaixo deste."
MG;Campestre;São vendidos com o lucro de 30% sobre o custo em S. Paulo e Rio.;A taxa usual é de 6% ao ano.;"Cozinheiro, 20$000 mensais; lavadeira, 10$000 mensais; carpinteiro, 5$000 diários, administrador de fazenda 150$00 mensais; trabalhador rural, 1$000 diários. Não há escrivães de fazenda. Os salários são pagos e os contratos cumpridos.";"Qualidades - Na maioria bôas, havendo também regulares e algumas inferiores. No geral, misturadas, havendo mais arenosas do que argilosas; mais montanhosas do que planas, sendo pedregosas em grande parte. A vegetação é representada por algumas matas virgens, muitas capoeiras, cerrados e campos. Preços - Um hectare de terra boa custa mais ou menos, 250$000; preço, evidentemente de áreas muito reduzidas e especiais, porque há preços muito inferiores."
MG;Campo Bello;São vendidos com 30 *1* accrescidos sobre os preços do Rio de Janeiro.;A taxa commun, é de 8 a 10 *1* ao anno.;"Cozinheira, 10$000 mensais; lavadeira, 5$000; carpinteiro, 5$000 por dia; trabalhador rural, de 1$500 a 2$000. Não há administradores nem escrivães de fazenda. Os salários são pagos e os contratos cumpridos. Trabalhador rural, 1$300 a 1$800 réis diários, à século ou 1$200, com comida; cosinheiro, de 10$000 a 15$000 mensões; lavadeira, 10$000 mensões; carpinteiro, de 3$000 a 5$000 diários; administrador de fazenda de 1.000$000 a 2.000$000 animais. Não há escrivães de fazenda. Os salários são pagos e os contratos cumpridos.";"Quaidades - Existem terras bôas e regulares e algumas inferiores; há misturadas, argilosas e arenosas. A vegetação é representada por poucas, muitas capoeiras, cerrados e campos. "" Preços — Um hectare de terra bôa custa 80$000, mais ou menos. Qualidades - Na maioria leias ou regulares; geralmente argilosas; há planas e montanhosas. A vegetação é representada por algumas mattas virgens, muitas capoeiras, campos, alguns cerrados e carrascaes. Preços — O hectare de terra boa custa 200$000, approximadamente, preço certamente para casos excepcionais, ou especiais, pois há preços muito e muito inferiores."
MG;Capellinha da Graça;De 500 a 1$000 o metro.;A taxa comum é de 1% ao mez.;"Trabalhador rural, de 800 a 1$000 diários com comida; não há administradores nem escrivães de fazenda; carpinteiro, 3$000 diários com comida; cozinheira, 6$000 mensais; lavadeira, 6$000 mensais. Os salários pagos e os contratos cumpridos.";"Qualidades - No geral boas. Há algumas argilhosas, misturadas e poucas arenosas. O município é geralmente plano. A vegetação é representada por muitas capoeiras, algumas matas virgens e campos; poucos cerrados e carrascaes. "" Preços — De 25$000 a 30$000 o alqueire."
MG;Caracol;Varia de 400 réis a mais, por metro.;A taxa é de 12% ao anno.;"Trabalhador rural, 2$000 diarios; cozinheira, 30$000 mensais; lavadeira, 1$000 por duzia; carpinteiro, 5$000 a 6$000 diarios; administrador de fazenda, 150$000 mensais; não há escrivães de fazendas. Os salarios são pagos e os contratos compridos.";"Qualidades - Na maioria boas e regulares; há argilhoias e misturadas; e talvez egualmente planas e montanhosas. A vegetação é representada por mattas, capoeiras, cerrados, carrascaes e campos. "" Preços — O hectare de terra boa, custa 100$000 a 150$000."
MG;Carangola;"Nacionaes, 800 réis o metro; Estrangeiros, 1$500.";A taxa comum é de 12 por cento ao ano.;"Trabalhador rural. 1$200 com comida e 1$800 a secco; administrador de fazenda, 80$000 mensais; escritórios de fazenda não há; carpinteiro, 4$000 diários; cozinheira, 20$000 mensais; lavadeira, 15$000 mensais. Os salários são pagos e os contratos cumpridos.";"Qualidades - Em sua maioria boas e em menor quantidade regulares e inferiores; sendo geralmente misturadas e montanhosas. A vegetação é representada por muitas muitas virgens, capoeiras, campos e culturas de café. Preços - Um hectare de terra boa custa 30$000, approximadamente."
MG;Caratinga;O metro de tecidos communis custa 500 a 700 réis. ESTRADAS e poetes — Existe a Estrada de Ferro Espírito Santo e Minas que corte o município. As de tropas são accidentadas e mal conservadas. Há pontes bem conservadas.;A taxa é de 1 a 2% ao mez.;"Trabalhador rural, 18000 diários; não há administradores, nem escrivães de fazenda; carpinteiro, de 3$000 a 4$000 diários, com comida; cozinheira, de 10$000 a 15$000, por mez; lavadeira, 10$000, mensais. Os salários são pagos e os contratos compridos.";Qualidades - No geral boas, havendo algumas regulares e poucas inferiores. Há muitas misturadas, algumas argilosas e poucas arenosas. Na maioria montanhosas, pedregosas e secas. A vegetação é representada por muitas muitas virgens, algumas capoeiras e campos e poucos cerrados e carrascaes. Um hectare de terra pode custar 20$000, mais ou menos.
MG;Carmo do Paranahyba;Mais ou menos 20% sobre os preços do Rio de Janeiro.;A taxa é de 12% ao ano.;"Trabalhador rural, 1$000 diários; não há administradores nem escrivães de fazenda; carpinteiro, 4$000 diários; cozinheira, 10$000 mensões; lavadeira, 5$000 mensões. Os salários são pagos e os contratos cumpridos.";Qualidades - Na maioria regulares, havendo muitas boas e inferiores. Há algumas argilhosas e arenosas e muitas misturadas. O município ora é plano, ora montanhoso e pedregoso. A vegetação é representada por muitas capoeiras e campos, alguns cerrados e poucas muitas virgens e carrascaes. Preços - Um hectare de terra boa custa 20$000, mais ou menos.
MG;Carmo do Rio Claro;"Nacionães, de 400 réis a 2$000 por metro; estrangeiros de 800 réis a 4$800.";Geralmente a taxa é de 10% ao anno.;"Trabalhador rural, 1$800 a 2$200 por dia; cozinheiro, 20$000 mensões; lavadeira, 15$000 mensões; carpinteiro, 4$000 diários; administradores de fazenda até 1:500$000 mensões; não há escrivães de fazenda. Os salários são pagos e os contratos cumpridos.";Qualidades - Na maioria bóas e regulares, e montanhosas existindo porém muitos terrenos planos. Há poucas muitas virgens e capoeiras, ocupando os campos mais de metade da área total. “ Preços — O hectare de terra boa custa 300$000, porém em condições muito especiais, pois há preços muito inferiores.
MG;Cataguazes;"Nackmaes, communa 600 réis a 1$000 o metro. Nacional, de 500 a 800 réis; estrangeiros, de 800 réis a mais.";Geralmente a taxa é de 12% ao anno. A taxa commun é de 1% ao mez.;"Trabalhador rural, 1$000 a 1$500 diários; cozinheiro, 40$000 mensais; lavadeira, 10$000 a 15$000 mensais; carpinteiro, 3$500 a 4$000 diários; administradores de fazenda, 250$000 mensais; escrivães de fazenda, não há. Os salários são pagos e os contratos cumpridos. Trabalhador rural ganha por dia de oito horas, 1$000, a secco; cozinheiro, de 12$000 a 15$000 mensais; lavadeiras cobram 500 réis por duzia de peças; carpinteiro, de 5$000 a 6$000 diários; não há administradores nem escrivães de fazenda. Os salários são pagos e os contratos cumpridos.";"Qualidades - São na maioria bóas e regulares, argilhosas ou barrentas e montanhosas. Existem algumas mattas virgens, muitas capoeiras, poucos cerrados, carrascaes e campos. Preços - O hectare de terra bó a custa 50$000 a 60$000, mais ou menos. Qualidades - No município predominam as terras regulares, sendo estas geralmente misturadas, a não serem algumas capoeiras e capões de matto. A vegetação do município é quase representada por campos e pastos e culturas. "" Preços — O hectare de terra boa custa de 60$000 a 70$000, mais ou menos."
MG;Christina;O custo dos tecidos, por metro, varia de 300 réis a mais.;A taxa é de 12 % ao anno.;"O trabalhador rural, 1$200 por dia; cozinheira, 8$000 à 10$000 mensais; lavandeira, 500 réis por dozia de peças; carpinteiro, 4$000 diários; não há administradores, nem escrivães de fazenda. Os salários são pagos e os contratos cumpridos.";"Qualidades - As terras do município são na maioria boas, geralmente misturadas, montanhosas e pedregosas. A vegetação é representada por matas virgens, capoeiras, cerrados, carrascaes e pequeno número de campos, de boa qualidade. Preços — O hectare de terra boa custa 100$000, mais ou menos. Transportes - No município o transporte regula 100 réis por 15 kilos e por legua. Na estrada de ferro paga-se para o Rio; toucinho, 267 réis por 10 kilos; milho, feijão e batatas 760 réis por 60 kilos; fumo, 1$589 por 10 kilos."
MG;Conceição do Serro;"Tecido de algodão, 300 réis a 4$000 o metro; de lã e algodão, 1$500 a 10$000.";"A taxa comum é de oito a 12 ""J"" ao ano.";"Cozinheira, 5$000 a 8$000 mensais; lavaneira, 3$000 a 5$000; carpimeiro, 2$000 a 4$000 diários; trabalhador rural, 1$000 a 2$000. Não há escrivães, nem administradores de fazenda. Os salarios são pagos e os contractos cumpridos.";Qualidades - As terras do município são geralmente bôas, havendo regulares e inferiores, em menor quantidade. Em sua maioria misturadas, sêvicas e montanhosas, havendo algumas pedregosas e poucas pantanosas. A vegetação é representada por poucos cerrados, carrascaes e mattas vírgens e muitos campos e capoeiras. “ Preços — Um hectare de terra boa custa 20$000 no máximo.
MG;Conceição do Rio Verde;"Os nacionaes, communs, são vendidos a 500 e 800 réis o metro; os estrangeiros, de 600 réis a 1$200.";A taxa usual é de 10% ao anno.;"Cozinheira, 15$000 mensões; lavadeira, 15$000 mensões; carpinteiro, 5$000 diários; administrador de fazenda, de 800$000 a 1.000$000 annuões; trabalhador rural, 1$200 diários com comida, ou 1$500 a secco; não há escrivães de fazenda. Os salários são pagos e os contratos cumpridos.";"Qualidades - São boas e regulares, havendo também inferiores; no geral misturadas, predominando as arenosas, existindo poucas argilosas. O município é bastante montanhoso, sendo poucas as terras-planas. A vegetação é representada por poucas matas, muitas capoeiras e cerrados, e grande extensão de campos naturais e artificiais, muito bons para criação do gado. Preços — Um hectare de terra boa custa 200$000, mais ou menos; preço exagerado e só aceitável para terrenos em condições especiais, porquanto há preços bem inferiores."
MG;Conquista;"Algodão, 600 réis o metro; chita, 800 réis e casenira, 15$000 o metro. 20° sobre os preços da Capital.";A taxa communi é de 12% ao anno. Taxa de doze por cento ao anno.;"Trabalhador rural, 2$500 por dia com comida; administrador de fazenda até de 4:000$000 e 6:000$000 amusases; escrivães de fazenda, 150$000 mensajes; carpinteiro, 10$000 diários; cozinhino, 90$000 mensajes; lavadeira, 50$000 mensajes. Os salários são pagos e os contratos compridos. Trabalhador rural, 1$200 por dia; não há administradores, nem escrivães de fazenda; carpinteiro, 5$000 diários; cozinheira, 15$000 mensais. Os salários são pagos e os contratos cumpridos.";"Qualidades - Geralmente: bôas, havendo muitas argilosas e algumas arenosas. Na maioria montanhosas e sécas. A vegetação é representada por muitas capoeiras, alguns cerrados, poucas muitas virgens. Preços — Um hectare de terra custa 60$000, aproximadamente. Qualidades - Há pouca terra boa. Na sua maioria são regulares e inferiores; ora argilhosas, ora arenosos e misturadas; geralmente montanhosas e pedregosas. A vegetação é representada por mattas virgens, capoeiras, muitos cerrados, carrascaes e campos. Preço — Um hectare de terra boa pode custar 100$000, mais ou menos."
MG;Curvello;"Tecidos de algodão nacional, de 200 a 600 réis o metro; tecidos estrangeiros, de 800 réis a 155.000 o metro.";A taxa usada é geralmente de 12% anuares.;"Trabalhador rural, de 1$000 a 1$500 diários, com alimentação, ou 2$000 diários a secco; administrador de fazenda, 800$000 animais; escritões de fazenda não há; carpinteiro, 5$000 diários; cozinheiro, 30$000 meneses; lavadeira, 15$000 meneses. Os salários são pagos e os contratos cumpridos.";"Qualidades - São em sua maioria bôas, havendo algumas regulares e inferiores; umas são argilhosas e outras misturadas; no geral plantas e seccas; há poucas pedregosas. A vegetação é representada por muitas virgem, capoeiras, minhas cerradas, carrascas e muitas campos. “ Preços — Um hectare de terra boa custa 20$000, aproximadamente."
MG;Diamantina;"Xaconnaes, 400 réis o metro; estrangeiros, 15000.";A taxa comum é de 10% ao ano.;"Trabalhador rural, 15000 diários; não há administradores nem escritórios de fazenda; carpinteiro, 45000 diários; cozinheira, 105000 mensais, lavadeira, 105000 mensais. Os salários são pagos e os contratos cumpridos.";Qualidades - Poncas boas e regulares, a maior parte inferiores. São areuosas e planas na maioria, havendo algumas montanhasas e pedregosas, poucas misturadas. “Preço — O hectare de terra boa custa 205000, mais ou menos.
MG;Dóres da Bôa Esperança;"Commuas; maricotes, de 400 a 800 réis o metro; estrangeiros, de 900 a 15800 por metro.";A taxa é de um por cento ao mês.;"Trabalhador rural, 18500 a 28000 diários, a sexo, e 18,000 com comida; cozinheira, 125000 mensagens; lavadeira, 105000 mensagens; carpinteiro, 48000 a 65000 diários; administrador de fazenda, 1200000 a 20000000 anuções. Não há exercícios de fazenda. Os salários são pagos e os contratos cumpridos.";Qualidades - Em sua maioria boas e regulares, argilhas, misturadas e assinadas. A vegetação é representada por muitas capoeiras e cerrados, alguns carrascaes e campos e poucas maturidades. Preços — O hectare de terra. Na costa 2000, aproximadamente, havendo preços bem mais baixos.
MG;Dóres do Indayá;"O nacional custa de 400 réis para mais o metro. Nacionaes, 200 até 600 réis; estrangeiros, 800 réis a 1$200. Algodão nacional, 200 réis o metro; tecidos estrangeiros variam de 700 réis à 12$000.";A taxa é de 10 por cento ao ano. De oito a dezoito por cento ao ano, sendo em média de doze por cento. A taxa communs é de 10 % na média.;"Trabalhador, 2$000 diários a secco ou 1$500 com comida; não há administradores nem escrivães de fazenda; carpinteiro, 3$500 diários com comida; cozinheira, 10$000 mensões; lavadeira, 6$000 mensões. Os salários são pagos e os contratos cumpridos. Trabalhador rural, 1$500 diários; administrador de fazenda, 800$000 a 2.000$000 animais; não há escrivâns de fazenda; carpinteiro, 2$500 a 6$000 diários; cosinheira, 15$000 mensais; lavadeira, 10$000 mesas. Os salários são pagos e os contratos cumpridos. Trabalhador rural 18000 diarios, com alimentação, ou 18000 à 28000 diarios à secco; administradores e escrivães de fazenda não ha; carpinteiro, 48000 diarios; cozinheira, 158000 mensões em média; lavadeira, 158000 mensões. Os salarios são pagos e os contractos cumpridos.";"Qualidades - Boas, regulares e inferiores. Há muitas argilhas, algumas arenosas e misturadas; na maioria planas. A vegetação é representada por algumas capoeiras e campos; poucas mattas, cerrados e carrascaes. - Preços — Os terrenos de cultura custam 60$000 a 100$000 por alqueire. Qualidades - Geralmente boas, misturadas, montanhosas e seccas; há poucas regulares, inferiores e planas. A vegetação é representada por muitos campos e algumas mattas virgens, capoeiras e cerrados. Preços — Um hectare de terra boa, 300$000 a 1.000$000; há pouco, ainda, foi vendida uma fazenda de 250 alqueires por trezentos e vinte contos de réis; entretanto, esse preço é para casos especiais, pois há preços muito e muito inferiores. Qualidades - Em sua maioria boas, havendo algumas regulares e inferiores; no geral montanhosas. A vegetação é representada por muitas capoeiras, poucas, muitas virgens, cerrados, carrascas, e muitos campos. Pregas — Um hectare de terra boa, custa 508000, aproximadamente."
MG;Estrella do Sul;"Naciones, 500 réis o metro; estrangeiros, 1$000. São vendidos com um lucro mais ou menos de 30% sobre o custo do Rio.";A taxa comum é de 1 º/ aní, 30 réis. A taxa é de 8 a 10% ao ano.;"Trabalhador rural, 1$500 diários; não há administradores nem escrivães de fazenda; carpinteiro, 7$000 diários; cozinheiro, 15$000 mensais; lavadeira, 15$000 mensais. Os salários são pagos e os contratos cumpridos. Trabalhador rural, de 1$000 a 2$000 diários; cozinheira, 15$000 mensais; lavadeira, 10$000; carpinteiro, 6$000 por dia. Não há administradores, nem escrivão de fazenda. Os salários são pagos e os contratos cumpridos.";"Qualidades - Na maioria boas, havendo poucas regulares e inferiores. Há muitas argilhasas, algumas misturadas e poucas arenosas. O município ora é plano, ora montanhoso. A vegetação é representada por algumas matas, capoeiras e campos; poucos cerrados e carrascaes. “ Preços — Um hectare de terra boa custa, approximadamente, 25$000. Qualidades - Em sua maioria bóas, poucas regulares; são misturadas, poucas argilosas; mais planas que montanhosas. A vegetação é representada por muitos campos, alguns cerrados, carrascaes e capoeiras e poucas mattas virgens. "" Preços — Um hectare de terra bóu custa 80/1000 aproximadamente."
MG;Fructal;"Brim de algodão, 800 réis o metro; chita nacional, 700 réis; estrangeira, 1$000 o metro. De 500 réis a 15500 o metro.";A taxa de 12% ao anno. A taxa consuma é de 12 ± 20 anos. MADERAS de lei — Peroba, garapa, cedro, vinhas, canela, gilvão, braúna, canela, jabotã, etc.;"Trabalhador rural, 2$000 diários. Não há administradores nem escrivões de fazenda; carpinteiro, 10$000 diários; cozinheira, 30$000 mensais; lavadeira, 30$000 mensais. Os salários são pagos e os contratos cumpridos. Trabalhador rural 15000 diários com comida; não há administradores nem escrivães de fazenda; carpinteiro, 55000 diários; cozinheira, 80000 mensais; lavadeira, 80000 mensais. Os salários são pagos e os contratos cumpridos.";"Qualidades - Na maioria regulares; são arenosas, planas e secas. A vegetação é representada por algumas matas virgeas, capoeiras, muitos cerrados e campos. "" Preços — Um hectare de terra boa custa 30$000, mais ou menos. Qualidades - Na maior parte lojas; algumas regulares; e poucas inferiores. São geralmente misturadas, mais montanhosas do que planas. A vegetação é representada por muitos campos, algumas mamas e capoeiras; poucos cerrados e carrascaes. Preços — Um hectare de terra boa custa 20$000 approximadamente."
MG;Guaranésia;"O metro de tecido nacional, comum, custa 400 a 800 réis; estrangeiro, 600 réis a mais.";A taxa é de um por cento ao mez.;"Trabalhador rural ganha por dia de oito horas, 2$500 a secco; cozinheiro, 50$000 a 60$000 mensais, havendo preços bem inferiores; as lavadeiras cobram 300 réis por duzia de peças; carpinteiro, 5$000 a 6$000 diários; administrador de fazenda, 100$000 a 300$000 mensais; não há escrivães de fazenda. Os salários são pagos e os contratos cumpridos.";"Qualidades - Na maioria boas, predominando as misturadas; sendo poucas as argilhasas e arenosas assim como as pedregosas; talvez igualmente montanhosas e planas. A vegetação é representada por muitas virgens magníficas, muitas capoeiras e campos. Preços — O hectare de terra boa custa 60$000 a 100$000, mais ou menos."
MG;Guarará;"O metro de tecidos nacionais, comuns custa 1$000, em média; estrangeiros, 1$500. Nacional, de 300 réis a 2$500 por metro; estrangeiro, de 800 réis a 6$000.";A taxa é de 12 *|* anuães. Nos bancos a taxa é de oito por cento ao ano e nos prestamistas doze por cento.;"Cozimeira, 158000 meneses; lavadeira, 158000 meneses; carpinteiro, 38000 diários; administrador de fazenda, 1008000 meneses; não há escrivães de fazenda; trabalhador rural, seja colono ou camarada, 18500 a secco ou 18000 em sustento. Os salários são pagos e os contratos cumpridos. Trabalhador rural, 2$000 a 3$000 por dia; cozinheira, 30$000 mensões; lavadeiras, 20$000 mensões; carpinteiro, 8$000 por dia; administrador de fazenda, 2.000$000 a 6.000$000 anuções, escrivões de fazenda, 1.000$000 anuções. Os salários são pagos e os contratos cumpridos.";"Qualidades - Em sua maioria bôas, havendo algumas regulares e inferiores, no geral misturadas e montanhosas. A vegetação é representada por algumas mattas virgens, muitas capoeiras, poucos carrascaes e muitos campos e culturas. "" Preços — Um hectare de terra boa custa 408000, mais ou menos. Qualidades - Na maioria bôas e regulares; no geral misturadas e montanhosas. Há poucas matas virgens, muitas capoeiras e campos e alguns cerrados e carrascaes. “Preços — O alqueire de terra boa custa 400$000, mas este preço é muito especial e para um número de casos muito reduzidos, o preço comum é bem inferior, muito inferior a este."
MG;Henrique Galvão;De 400 a 800 réis o metro.;Taxa de 10% ao anno.;"Trabalhador rural, 2$000 diários a séco, ou 1$200 com comida. Não há administradores, nem escrivães de fazenda; carpinteiro, 4$000 a 10$000 diários a secco; cozinheira, 15$000 mensais; lavadeira, 6$000 mensais. Os salários são pagos e os contratos cumpridos.";"Qualidades - Em sua maioria inferiores, havendo porém muita terra boa é regular; são arenosas, argilosas e misturadas; há plantas e montanhosas. A vegetação é representada por algumas matas virgens, muitas capoeiras e campos e alguns cerrados. “ Preços — O alqueire de 48.400 metros quadrados de terra boa é geralmente vendido a 200$000, mais ou menos."
MG;Itabira do Matto Dentro;O custo do metro de tecidos de algodão é de 300 réis a 1$000.;Não são usuais os empréstimos à lavoura.;"Trabalhador rural 18000 diários, com comida; cozinheira, de 88000 a 108000 meneses; lavadeira, de 68000 a 88000 meneses; carpinteiro, de 28500 a 58000 diários; não são administradores nem escrivães de fazenda. Os salarios são pagos e os contratos cumpridos.";Qualidades - Em sua maioria boas, arenosas e montanhosas. A vegetação é representada por algumas muitas virgens, muitas capoeiras, poucos carrascaes, cerrados e alguns campos. Preços — O hectare de terra boa custa 508000 approximadamente.
MG;Itajubá;Varia de 400 réis e mais por metro.;A taxa é de 12% ao anno.;"Trabalhador rural, 2$000 diários, a secco, ou 1$000 com comida; cozinheira, 15$000, mensais; lavadeira, 15$000 mensais; carpinteiro, 6$000 diários; administrador de fazenda, 100$000 mensais; não há escrivães de fazenda. Os salários são pagos e os contratos cumpridos.";"Qualidades - Na maioria bôas; misturadas e montanhosas. A vegetação é representada por mattas, capoeiras, poucos carrascaes e muitos cerrados e campos. * Preços — O hectare de terra bôa custa 200$000, mais ou menos; havendo, porém, preços bem mais inferiores."
