municipality,start_date,station,railway,branch
"Pedregulho,SP",05.03.1888,CHAPADÃO(antigaMONTEALTO),Cia.MogianadeEstradasdeFerro(1888-1970)E.F.ValedoBomJesus(1991-2004),"Linha do Rio Grandekm 461,835"
"Charqueada,SP",01.10.1887,CHARQUEADA,Cia.Ytuana(1887-1892)Cia.UniãoSorocabanaeYtuana(1892-1907)SorocabanaRailway(1907-1919)E.F.Sorocabana(1919-1966),"Ramal de Piracicaba- km 274,621"
"Chavantes,SP",01.01.1909,CHAVANTES,SorocabanaRailway(1909-1919)E.F.Sorocabana(1919-1971)FEPASA(1971-1998),"Linha-troncokm 492,459 (1924);             km 479,636 (1934); km 431,703 (1960) (*)"
"RiodasPedras,SP",n/d,CHAVEDOBARÃO,Cia.UniãoSorocabanaeYtuana(n/d-1907)SorocabanaRailway(1907-1919)E.F.Sorocabana(1919-1971)FEPASA(1971-1984),Ramal de Piracicaba km
"Rafard,SP",15.06.1940,LEOPOLDINA,E.F.Sorocabana(1940-1944),"Ramal de Piracicabakm 196,620"
"EliasFausto,SP","c. 
            1950",CHAVEQUELUZ,E.F.Sorocabana(1950-1971)FEPASA(1971-c.1988),Ramal de Piracicaba- km
"EliasFausto,SP",15.09.1958,CHAVESTEIN,E.F.Sorocabana(c.1950-1971)FEPASA(1971-c.1988),"Ramal de Piracicaba- km 171,00"
"Araraquara,SP",14/07/1922,CHIBARRO,Cia.PaulistadeEstradasdeFerro(1922-1971)FEPASA(1971-1998),"Linha-troncokm 235,457 (1958)"
"Itanhaém,SP",c.1948,CIBRATEL(PARADA),E.F.Sorocabana(c.1948-1971)FEPASA(1971-1998),"Ramal de Juquiá km 151,763 (1986)"
"SãoPaulo,SP",28.09.1957,CIDADEDUTRA,EstradadeFerroSorocabana(1957-1971)FEPASA(1971-c.1979),"Ramal de Jurubatuba km 36,898"
"SãoPaulo,SP",02.02.1970,CIDADEJARDIM(PARADA),E.F.Sorocabana(1970),Ramal de Jurubatuba km
"SãoPaulo,SP",30.06.2000,CIDADEJARDIM,CPTM(2000-),"Ramal de Jurubatuba (Linha Esmeralda)            km 8,840"
"SãoPaulo,SP",04.04.1981,CIDADEUNIVERSITÁRIA,Fepasa(1979-1994)CPTM(1994-),"Ramal de Jurubatubakm 4,947 (1981)"
"SantaBárbaraD'Oeste,SP",01.10.1924,CILLOS,Cia.PaulistadeEstradasdeFerro(1924-1971)FEPASA(1971-1998),"Ramal de Piracicabakm 84,150"
"Itapevi,SP",1959,CIMENRITA,E.F.Sorocabana(1959-1971)FEPASA(1971-1994)CPTM(1994-2010),Linha-troncokm
"Guarantã,SP",13.12.1912,CINCINATO(antigaCINCINATOBRAGA),E.F.NoroestedoBrasil(1912-1948),"Linha-troncokm 99,730 (1938)"
"SãoPaulo,SP",29.08.1886?,CLEMENTEFALCÃO(antigaQUARTAPARADA),E.F.doNorte(1886?-1890E.F.CentraldoBrasil(1890-1975)RFFSA(1975-1981),"Ramal de São Paulo- km             494,795**"
"Altinópolis,SP",1909,COBIÇA,E.F.SãoPaulo-Minas(1909-1971)FEPASA(1971-1998),"Linha-tronco originalkm 96,319             (1960)"
"CasaBranca,SP",11.01.1902,COCAIS,Cia.MogianadeEstradasdeFerro(1902-1949),"Linha-tronco original- km 157,350"
"Colina,SP",25.05.1909,COLINA,Cia.PaulistadeEstradasdeFerro(1909-1971)FEPASA(1971-1998),"Linha-troncokm 428,106 (1958)"
"Colômbia,SP",01.07.1929,COLÔMBIA,Cia.PaulistadeEstradasdeFerro(1929-1971)FEPASA(1971-1998),"Linha-troncokm 506,655 (1958)"
"SãoPaulo,SP",28.09.1957,COLÔNIA,EstradadeFerroSorocabana(1957-1971)FEPASA(1971-c.1979),"Ramal de Jurubatubakm 54,440"
"Osasco,SP",12.10.1946,COMANDANTESAMPAIO,E.F.Sorocabana(1946-1971)FEPASA(1971-1994)CPTM(1994-),"Linha-troncokm 17,260 (1960)"
"SãoPaulo,SP",,COMENDADORERMELINO,E.F.CentraldoBrasil(1926-1975)RFFSA(1975-1994)CPTM(1994-),"Variante de Poákm 486,174             (1928)"
"Mococa,SP",18.03.1890,COMENDADORGUIMARÃES,Cia.MogianadeEstradasdeFerro(1890-1966),"Ramal de Mococakm 56,272"
"Jaboticabal,SP",n/d,COMENDADORMARICATO,E.F.Jaboticabal(n/d-1951)Cia.PaulistadeEstradasdeFerro(1951-1966),Ramal de Luzitaniakm
"Bauru,SP",12.11.1904,CONCEIÇÃO,E.F.Sorocabana(1905-1971)FEPASA(1971-1998),"Ramal de Bauru- km 413,668 (1934)"
"Conchal,SP",02.11.1913,CONCHAL(antigaENGENHEIROCOELHO),Cia.CarrilFunilense(1912-1921)E.F.Sorocabana(1921-1960),"Ramal de Pádua Salleskm 270,104 (1934)"
"Conchas,SP",21.07.1887,CONCHAS,E.F.Sorocabana(1887-1892)Cia.UniãoSorocabanaeYtuana(1892-1907)SorocabanaRailway(1907-1919)E.F.Sorocabana(1919-1971)FEPASA(1971-1998),"Linha-troncokm 224,923 (1931); km 208,490 (1931); 205,246 (1960 (*)"
"SãoCarlos,SP",15.10.1884,CONDEDOPINHAL(antigaCOLONIA),Cia.Rio-Clarense(1884-1888)RioClaroRailway(1888-1892)Cia.PaulistadeEstradasdeFerro(1892-1971)FEPASA(1971-1998),"Linha-troncokm 195,325 (1958)"
,n/d,CONDEPRATES,E.F.Araraquara(n/d-1971)FEPASA(1971-1998),Linha-tronco- km
"Mogi-Guaçu,SP",01.10.1889,CONSELHEIROLAURINDO,Cia.MogianadeEstradasdeFerro(1889-1960),"Ramal de Pinhalkm 8,802"
"Mogi-Mirim,SP",06.12.1892,CONSELHEIROMARTIMFRANCISCO,Cia.MogianadeEstradasdeFerro(1892-1971)FEPASA(1971-1979),"Linha-tronco originalkm 61,713"
"Colômbia,SP",01.07.1929,CONTINENTAL,Cia.PaulistadeEstradasdeFerro(1929-1971)FEPASA(1971-1998),"Linha-tronco km 497,358 (1958)"
"Itu,SP",30.07.1946,CONVENÇÃO,E.F.Sorocabana(1946-1971)FEPASA(1971-1987),"Ramal de Campinas km 115,780 (1960)"
"Amparo,SP",15.11.1875,ARCADAS(antigaCOQUEIROS),Cia.MogianadeEstradasdeFerro(1875-1967),"Ramal de Amparo- km 19,511 (1937)"
"Cordeirópolis,SP",11.08.18,CORDEIRÓPOLIS(antigaCORDEIRO),Cia.PaulistadeEstradasdeFerro(1876-1971)FEPASA(1971-1998),"Linha-troncokm 116,965 (1958)"
"Coroados,SP",01.06.1921,COROADOS,E.F.NoroestedoBrasil(1921-1975)RFFSA(1975-1996),"Linha-troncokm 236,367 (1960)"
"Lorena,SP",1903,CORONELBARREIROS,E.F.Lorena-Benfica(1903-1921)E.F.CentraldoBrasil(1921-1975)RFFSA(1975-1978),"ramal de Piquetekm 291,028"
"CasaBranca,SP",25.09.1898,CORONELCORRÊA,Cia.MogianadeEstradasdeFerro(1898-1948),"Linha-tronco originalkm 184,509"
"CasaBranca,SP",02.12.1948,CORONELCORRÊA-NOVA,Cia.MogianadeEstradasdeFerro(1948-1971)FEPASA(1971-1998),"Variante Lagoa-Tambaúkm 177,890"
"Tambaú,SP",25.09.1898,CORONELJOSÉEGÍDIO,Cia.MogianadeEstradasdeFerro(1898-1959),"Linha-tronco originalkm 198,715"
"Tambaú,SP",28.12.1959,CORONELJOSÉEGÍDIO-NOVA,Cia.MogianadeEstradasdeFerro(1959-1963),Variante Tambaú-Bento Quirino             km
"Borebi,SP",1917,CORONELLEITE,E.F.Sorocabana(1917-1962),"Ramal de Borebi- km 399,582 (1934)"
"Iperó,SP",1920,CORONELMURSA,E.F.Sorocabana(1920-1947),"Linha-tronco originalkm 137,062             (1924); km 129,800 (1931) (*)"
"SallesOliveira,SP",01.06.1910,CORONELPEREIRALIMA(antigaPORANGABA),Cia.MogianadeEstradasdeFerro(1910-1971)FEPASA(1971-1979),"Ramal de Igarapava- km 31,925"
"SallesOliveira,SP","c. 
            1983",CORONELPEREIRALIMA-NOVA,FEPASA(c.1983-1998),"Variante Entroncamento-Amoroso Costa-             km 331,738 (1986)"
"Igarapava,SP",01.12.1922,CORONELQUITO(antigaUNIÃO),Cia.MogianadeEstradasdeFerro(1922-1971)FEPASA(1971-1979),"Ramal de Igarapavakm 168,237             (1937)"
"Cajuru,SP",01.07.1912,CORREDEIRA,Cia.MogianadeEstradasdeFerro(1912-1966),"Ramal de Cajuru km 32,692 (1939)"
"SãoPaulo,SP",n/d,CORREDOR,E.F.Perus-Pirapora(n/d-1983),linha tronco km 5
"Araçatuba,SP",31.12.1908,CÓRREGOAZUL,E.F.NoroestedoBrasil(1908-1961),"Linha-tronco originalkm 300,490Ramal de Lussanvirakm 19,892"
"Tambaú,SP",16.08.1882,CÓRREGOFUNDO,Cia.MogianadeEstradasdeFerro(1882-1971),"Linha-tronco originalkm 223,369"
"Jaboticabal,SP",10.05.1894,CÓRREGORICO,Cia.PaulistadeEstradasdeFerro(1894-1969),"Ramal de Jaboticabalkm 51,867 (1967)"
"Jundiaí,SP",01.07.1896,CORRUPIRA,Cia.PaulistadeEstradasdeFerro(1896-1971)FEPASA(1971-1998),"Linha-troncokm 10,460 (1958)"
"Jaboticabal,SP",n/d,CORRUPIU,E.F.Jaboticabal(n/d-1951)Cia.PaulistadeEstradasdeFerro(1951-1966),Ramal de Luzitaniakm
"Corumbataí,SP",15.10.1884,CORUMBATAÍ,Cia.PaulistadeEstradasdeFerro(1884-1966),"Ramal de Analândia- km 27,003"
"Cosmópolis,SP",18.09.1899,COSMÓPOLIS(antigaBARÃOGERALDODEREZENDE),Cia.CarrilFunilense(1899-1921)E.F.Sorocabana(1921-1960),"Ramal de Pádua Salleskm 225,980 (1934)"
"Cosmorama,SP",15.06.1943,COSMORAMA,E.F.Araraquara(1943-1971)FEPASA(1971-1998),"Linha-troncokm 278,261 (1960)"
"SãoSebastiãodaGrama,SP",n/d,COSTAMACHADO,E.F.VillaCostina(1917?-anos1920),E. F. de Villa Costinakm 21
"Piracicaba,SP",1888,COSTAPINTO,Cia.Ytuana(1888-1892)Cia.UniãoSorocabanaeYtuana(1892-1907)SorocabanaRailway(1907-1919)E.F.Sorocabana(1919-1966),"Ramal de Piracicabakm 250,612"
"Cravinhos,SP",23.11.1883,CRAVINHOS,Cia.MogianadeEstradasdeFerro(1883-1964),"Linha-tronco originalkm 286,731"
"Cravinhos,SP",01.05.1964,CRAVINHOS-NOVA(antigaE-2),Cia.MogianadeEstradasdeFerro(1964-1971)FEPASA(1971-1998),"variante Bento Quirino-Entroncamentokm 267,604"
"Jardinópolis,SP",03.07.1900,CRESCIÚMA,Cia.MogianadeEstradasdeFerro(1900-1971)FEPASA(1971-1979),"Ramal de Igarapavakm 18,558"
"CristaisPaulista,SP",01.09.1900,CRISTAIS(antigaGUAPUÃ),Cia.MogianadeEstradasdeFerro(1900-1971)FEPASA(1971-1973),"Linha do Rio Grandekm 431,888"
"Jaguariúna,SP",01.03.1939,CRISTIANOOSÓRIO,Cia.MogianadeEstradasdeFerro(1939-1961),"Linha-tronco original km 45,090 (1960)"
"Cruzeiro,SP",04.09.1878,CRUZEIRO,E.F.DomPedroII(1878-1889)E.F.CentraldoBrasil(1889-1975)RFFSA(1975-1998),"Ramal de São Paulo- km             252,382"
"Cubatão,SP",16.02.1867,CUBATÃO,SãoPauloRailway(1867-1946)E.F.Santos-Jundiaí(1946-1975)RFFSA(1975-1996),"Linha troncokm 12,300 (1935)"
"Guarulhos,SP",1947,CUMBICA,E.F.Sorocabana(1947-1965),Ramal de Guarulhos km
"BragançaPaulista,SP",01.01.1913,CURITIBANOS,E.F.Bragantina(1913-1967),"Linha-troncokm 61,220 (1938)"
"Bauru,SP",01.10.1943,CURUÇÁ,E.F.NoroestedoBrasil(1943-1975)RFFSA(1975-1996),"Linha-tronco km 4,907 (1960)"
"Tabatinga,SP",01.02.1915,CURUPÁ,E.F.Araraquara(1915-1916)NorthernRailwayCo.(1916-1919)E.F.Araraquara(1919-1966),"Ramal de Tabatingakm 38,912"
"Pindamonhangaba,SP(Vejaobairro)",15.12.1937,CORUPUTUBA,E.F.CentraldoBrasil(1937-1975)RFFSA(1975-1998)MRS(1998-2011),"Ramal de São Paulo- km 318,416             (1960)"
"Analândia,SP",31.12.1896,CUZCUZEIRO,Cia.PaulistadeEstradasdeFerro(1896-1915),Linha-tronco métricakm
"Analândia,SP",15.10.1884,ANALÂNDIA(antigaANÁPOLIS),Cia.Rio-Clarense(1884-1888)RioClaroRailway(1888-1892)Cia.PaulistadeEstradasdeFerro(1892-1966),"Ramal de Analândiakm 40,613"
"CamposdoJordão,SP",1939,DAMAS,E.F.CamposdoJordão(n/d-2007),"Linha-tronco- km 42,8"
"Descalvado,SP",07.11.1881,DESCALVADO,Cia.PaulistadeEstradasdeFerro(1881-1971)FEPASA(1971-1996),"Ramal de Descalvadokm 223,773"
"Campinas,SP",01.08.1914,DESCAMPADO,SorocabanaRailway(1914-1919)E.F.Sorocabana(1919-1971)Fepasa(1971-1978),"Ramal de Campinas km 161,629"
"Campinas,SP",01.10.1901,DESEMBARGADORFURTADO,Cia.MogianadeEstradasdeFerro(1901-1971)FEPASA(1971-1957)ABPF(2005-),"Linha-troncokm 23,882 (1938)"
"BentodeAbreu,SP",01.08.1930,BENTODEABREU(antigaDIABASEeALTOPIMENTA),E.F.NoroestedoBrasil(1930-1975)RFFSA(1975-1996),"Variante de Jupiákm 52,500             (1937)Linha-troncokm 333,500 (1949)"
"Dobrada,SP",02.04.1901,DOBRADA,E.F.Araraquara(1901-1942),"Linha-tronco originalkm 53,985"
"Dobrada,SP",c.1952,DOBRADA-NOVA,E.F.Araraquara(c.1952-1971)FEPASA(1971-1998),"Tronco novo (bitola larga) km 53,600             (1960)"
"DoisCórregos,SP",07.09.1886,DOISCÓRREGOS,Cia.Rio-Clarense(1886-1888)RioClaroRailway(1888-1892)Cia.PaulistadeEstradasdeFerro(1892-1971)FEPASA(1971-1998),"Linha-tronco oestekm 252,268"
"SãoPaulo,SP",27.05.2000,DOMBOSCO,CPTM(2000-2010),Variante da CPTM
"SãoPaulo,SP",1920,DOMINGOSDEMORAES,E.F.Sorocabana(1920-1971)FEPASA(1971-1994)CPTM(1994-),"Linha-troncokm 9,264 (1934)"
"Guatapará,SP",30.03.1913,DOMINGOSVILLELA,Cia.MogianadeEstradasdeFerro(1913-1971)FEPASA(1971-1979),"Ramal de Jataíkm 82,145 (1938)"
"Mairinque,SP",04.07.1897,DONACATARINA,Cia.UniãoSorocabanaeYtuana(1897-1907)SorocabanaRailway(1907-1919)E.F.Sorocabana(1919-1971)FEPASA(1971-1987),"Ramal de Campinaskm 92,099 (1960)"
"Bebedouro,SP",08.05.1911,DONALUIZA,Cia.E.F.SãoPaulo-Goiaz(1911-1916)Cia.FerroviáriaSãoPaulo-Goiaz(1916-1950)Cia.PaulistadeEstradasdeFerro(1950-1969),"Ramal de Nova Granadakm 21,754"
"Dourado,SP",01.12.1900,DOURADO,E.F.doDourado(1900-1949)Cia.PaulistadeEstradasdeFerro(1949-1966),"Ramal de Douradokm 19,515 (1929)"
"SãoVicente,SP",17.05.1941,DOUTORALARICO,E.F.Sorocabana(1941-1971)FEPASA(1971-1998),"Mairinque-Santoskm 115,330 (1960)"
"SãoVicente,SP",17.05.1941,DOUTORALARICO,E.F.Sorocabana(1941-1971)FEPASA(1971-1998),"Mairinque-Santoskm 115,330 (1960)"
"MonteAlegredoSul,SP",01.08.1908,DOUTORCARLOSNORBERTO,Cia.MogianadeEstradasdeFerro(1908-1966),"Ramal de Socorro- km 9,397"
"Jaboticabal,sp",15.03.1916,DOUTORFONTES,E.F.Jaboticabal(1916-1951)Cia.PaulistadeEstradasdeFerro(1951-1966),"Ramal de Luzitaniakm 15,900"
"MirantedoParanapanema,SP",15.02.1961,DOUTORFRANCISCO,E.F.Sorocabana(1961-1971)FEPASA(1971-c.1988),"Ramal de Dourados-km 817,516 (1986)"
"SãoJosédoRioPardo,SP",01.08.1909,DOUTORJOSÉEUGÊNIO,Cia.MogianadeEstradasdeFerro(1909-1971)FEPASA(1971-1992),"Ramal de Guaxupé- km 5,765 (1938)"
"Campinas,SP",1894?,DOUTORLACERDA,"RamalFérreoCampineiro(1894?-1912)Cia.CampineiradeTração,LuzeForça(1912-1939)","Ramal de Doutor Lacerdakm 28,248; km 29             (1938)"
"Dracena,SP",30.12.1959,DRACENA,Cia.PaulistadeEstradasdeFerro(1959-1971)FEPASA(1971-1998),"Linha-tronco oeste- km 671,803"
,07.09.1925,"DUARTINAMunicípiosdePiratininga(1925-1926)Duartina(1926-),SP",Cia.PaulistadeEstradasdeFerro(1925-1971)FEPASA(1971-1976),"Ramal de AgudoskmLinha-tronco oestekm 392,954"
"Dumont,SP",1889,DUMONT,E.F.Dumont(1891-1940),Ramal de Dumontkm 23
"PresidenteBernardes,SP",29.09.1958,DUMONTINA,E.F.Sorocabana(1958-1971)FEPASA(1971-c.1988),"Ramal de Dourados-km 766,685 (1986)"
"PresidenteBernardes,SP",29.09.1958,DUMONTINA,E.F.Sorocabana(1958-1971)FEPASA(1971-c.1988),"Ramal de Dourados-km 766,685 (1986)"
"PresidenteBernardes,SP",29.09.1958,DUMONTINA,E.F.Sorocabana(1958-1971)FEPASA(1971-c.1988),"Ramal de Dourados-km 766,685 (1986)"
"PresidenteBernardes,SP",29.09.1958,DUMONTINA,E.F.Sorocabana(1958-1971)FEPASA(1971-c.1988),"Ramal de Dourados-km 766,685 (1986)"
"PresidenteBernardes,SP",29.09.1958,DUMONTINA,E.F.Sorocabana(1958-1971)FEPASA(1971-c.1988),"Ramal de Dourados-km 766,685 (1986)"
"PresidenteBernardes,SP",29.09.1958,DUMONTINA,E.F.Sorocabana(1958-1971)FEPASA(1971-c.1988),"Ramal de Dourados-km 766,685 (1986)"
"PresidenteBernardes,SP",29.09.1958,DUMONTINA,E.F.Sorocabana(1958-1971)FEPASA(1971-c.1988),"Ramal de Dourados-km 766,685 (1986)"
"PresidenteBernardes,SP",29.09.1958,DUMONTINA,E.F.Sorocabana(1958-1971)FEPASA(1971-c.1988),"Ramal de Dourados-km 766,685 (1986)"
"PresidenteBernardes,SP",29.09.1958,DUMONTINA,E.F.Sorocabana(1958-1971)FEPASA(1971-c.1988),"Ramal de Dourados-km 766,685 (1986)"
"Tanabi,SP",01.10.1943,ECATU(antigoPOSTOE),E.F.Araraquara(1943-1971)FEPASA(1971-1998),"Linha-troncokm 263,760 (1960)"
"SantoAndré,SP",02.10.1950,ELETROCLORO(antigaELDORADO),E.F.Santos-Jundiaí(1950-1975)RFFSA(1975-c.1990),"Linha-troncokm 37,915"
"Itapira,SP",19.09.1891,ELEUTÉRIO,Cia.MogianadeEstradasdeFerro(1891-1971)FEPASA(1971-1990),"Ramal de Itapirakm 46,086"
"EliasFausto,SP",1875,ELIASFAUSTO(antigaMONTE-MOR),Cia.Ytuana(1875-1892)Cia.UniãoSorocabanaeYtuana(1892-1907)SorocabanaRailway(1907-1919)E.F.Sorocabana(1919-1971)FEPASA(1971-c.1990),"Ramal de Piracicabakm 173,781"
"Araras,SP(vejamaissobreElihuRoot)",30.09.1877,ELIHUROOT(antigaGUABIROBA),Cia.PaulistadeEstradasdeFerro(1877-1971)FEPASA(1971-1997),"Ramal de Descalvadokm 144,640"
"Pirassununga,SP",06.12.1886,EMAS,Cia.PaulistadeEstradasdeFerro(1886-1971)FEPASA(1971-1976),"Ramal de Santa Veridianakm 5,882"
"CachoeiraPaulista,SP",11.04.1921,EMBAÚ,E.F.CentraldoBrasil(1921-1969),"Ramal de São Paulo km 259,322"
"Embu-Guaçu,SP",05.04.1934,EMBU-GUAÇU(M'BOY-GUASSU)(antigaCipó),E.F.Sorocabana(1934-1971)Fepasa(1971-1998),"Mairinque-Santos- km 64,000 (1934)"
"CamposdeJordão,SP",17.11.1924,EMÍLIORIBAS(antigaCAMPOSDOJORDÃO),E.F.CamposdoJordão(1924-),"Linha-troncokm 42,8"
"SãoPaulo,SP",10.01.1886,ENCONTRO,Cia.CarrisdeFerrodeSantoAmaro(1886-1900)LightandPower(1900-1914?),"Troncokm 8,1 (1890)"
"Mairinque,SP",03.06.1985,ENGENHEIROACRÍSIO,FEPASA(1985-1998),"Variante Boa Vista-Guaianãkm 166,755 (1994)"
"SãoPaulo,SP",19.08.1921,ARTURALVIM,E.F.CentraldoBrasil(1921-1975)RFFSA(1975-1983)CBTU(1983-1992)CPTM(1992-2000),"Ramal de São Paulokm             484,574"
"Itapeva,SP",01.01.1909,ENGENHEIROBACELLAR,E.F.Sorocabana(1909-1971)FEPASA(1971-1998),"Ramal de Itararé- km 316,986 (1931)"
"MonteAprazível,SP",01.07.1941,ENGENHEIROBALDUÍNO,E.F.Araraquara(1941-1971)FEPASA(1971-1998),"Linha-troncokm 246,026 (1960)"
"Queluz,SP",18.08.1921,ENGENHEIROBIANOR,E.F.CentraldoBrasil(1921-1975)RFFSA(1975-1998),"Ramal de São Paulokm             221,559"
"TeodoroSampaio,SP",18.09.1965,ENGENHEIROBRÁULIO,E.F.Sorocabana(1965-1971)FEPASA(1971-c.1988),"Ramal de Douradoskm 857,017 (1986)"
"Brodowski,SP",06.12.1892,BRODOWSKY(antigaENG.BRODOWSKY),Cia.MogianadeEstradasdeFerro(1892-1971)FEPASA(1971-c.1988),"Linha do Rio Grandekm 345,206"
"Taquaritinga,SP",08.07.1931,ENG.BUSCHVARELLA,E.F.Araraquara(1931-1955),"Linha-tronco original km 77,534"
"Anhembi,SP",22.04.1952,ENGENHEIROCALIXTO-NOVA,E.F.Sorocabana(1952-1971)FEPASA(1971-1998),"Variante Juquiratiba-Botucatukm 232,100             (1960)"
"Anhembi,SP",1931,ENGENHEIROCALIXTO,E.F.Sorocabana(1931-1952),"Linha-troncokm 241,830 (1931) (*)"
"Itapevi,SP",1951,ENGENHEIROCARDOSO(antigaVITÁPOLIS),E.F.Sorocabana(1951-1971)FEPASA(1971-1994)CPTM(1994-),Linha-troncokm 33
"EngenheiroCoelho,SP",02.07.1912,ENGENHEIROCOELHO(antigaGUAYQUICANAouGUAIQUICÁ),Cia.CarrilFunilense(1912-1921)E.F.Sorocabana(1921-1960),"Ramal de Pádua Salleskm 248,563 (1934)"
"Tremembé,SP",05.12.1951,ENGENHEIROCOTRIM,E.F.CentraldoBrasil(1951-1975)RFFSA(1975-1996),"Ramal de São Paulo km 337,208"
"MirantedoParanapanema,SP",01.08.1961,ENGENHEIRODEMERVALVERAS,E.F.Sorocabana(1961-1971)FEPASA(1971-c.1988),"Ramal de Dourados- km 802,222 (1986)"
"Itanhaém,SP",21.09.1939,ENGENHEIROFERRAZ,E.F.Sorocabana(1939-1971)FEPASA(1971-1998),"Mairinque-Santoskm 75,499 (1960)"
"SãoVicente,SP",2002,ENGENHEIROGLADSON,Ferroban(2002-2006),Ramal de Perequê km 115
"SãoJosédoRioPardo,SP",02.08.1889,ENGENHEIROGOMIDE,Cia.MogianadeEstradasdeFerro(1889-1966),"Ramal de Mococakm 42,786"
"SãoPaulo,SP",07.02.1926,ENGENHEIROGOULART,E.F.CentraldoBrasil(1926-1975)RFFSA(1975-1994)CPTM(1994-),"Variante de Poákm 490,875             (1960)"
"SãoPaulo,SP",29.08.1886?,ENG.GUALBERTO(1934-2000)(antigaSEXTAPARADA-1886-c.1928)(antigaQUINTAPARADA-c.1928-1934),E.F.doNorte(1886?-1892)E.F.CentraldoBrasil(1892-1975)RFFSA(1975-1983)CBTU(1983-1992)CPTM(1992-2000),"Ramal de São Paulokm             493,039**"
"CampinadoMonteAlegre,SP",16.10.1907,ENGENHEIROHERMILLO,SorocabanaRailway(1907-1919)E.F.Sorocabana(1919-1971)FEPASA(1971-1998),"Ramal de Itararékm 254,582 (1931)"
"TeodoroSampaio,SP",18.09.1965,ENGENHEIROLYCIO,E.F.Sorocabana(1965-1971)FEPASA(1971-c.1988),"Ramal de Douradoskm 846,842 (1986)"
"Itaberá,SP(vejaobairro)",01.03.1909,ENGENHEIROMAIA,SorocabanaRailway(1909-1919)EstradadeFerroSorocabana(1919-1971)FEPASA(1971-1998),"Ramal de Itararékm 369,483             (1931)"
"SãoPaulo,SP",05.04.1934,ENGENHEIROMARSILAC,EstradadeFerroSorocabana(1934-1971)FEPASA(1971-1998),"Mairinque-Santoskm 74,000 (1937)"
"SãoJosédosCampos,SP",18.08.1921,ENG.MARTINSGUIMARÃES,E.F.CentraldoBrasil(1921-c.1951),"Ramal de São Paulokm 381,668             (1928)"
"SãoJosédosCampos,SP",19.05.1951,ENG.MARTINSGUIMARÃES-NOVA,E.F.CentraldoBrasil(1951-1969)RFFSA(1969-1996)MRS(1996-2003),"Ramal de São Paulo (variante)km 381,668"
"Aguaí,SP",21.01.1878,ENGENHEIROMENDES(antigaCALDAS),Cia.MogianadeEstradasdeFerro(1878-1971)FEPASA(1971-1998),"Linha-tronco original- km 132,566"
"Itapetininga,SP",05.1926,ENGENHEIROMENDONÇA(antigaMARABÁ),E.F.Sorocabana(1926-1971)FEPASA(1971-1998),"Ramal de Itararé km 209,604 (1931)"
"Avaré,SP",01.09.1953,ENGENHEIROMILLER,E.F.Sorocabana(1953-1971)FEPASA(1971-1998),"Variante Botucatu-Avarékm 323,320 (1960)"
"MirantedoParanapanema,SP",29.09.1958,ENGENHEIROMURGEL,E.F.Sorocabana(1958-1971)FEPASA(1971-c.1988),"Ramal de Dourados-km 776,463 (1986)"
"Glicério,SP",01.10.1930,ENGENHEIRONAPOLEÃO,E.F.NoroestedoBrasil(1929-c.1968),"Linha-troncokm 386,200 (1938); km 233,500 (1949)"
"Guaratinguetá,SP",04.07.1921,ENGENHEIRONEIVA,E.F.CentraldoBrasil(1921-1975)RFFSA(1975-1998),"Ramal de São Paulokm             287,491"
"Quintana,SP",01.04.1955,ENGENHEIROPEDRODECAMARGO,Cia.PaulistadeEstradasdeFerro(1955-1971)FEPASA(1971-1998),"Linha-tronco oeste km 518,692"
"Itobi,SP",01.10.1894,ENGENHEIRORÖHE,Cia.MogianadeEstradasdeFerro(1894-1954),"Ramal de Mococa- km 17,519 (1938)"
"Botucatu,SP",22.04.1952,ENGENHEIROROMUALDO,E.F.Sorocabana(1952-1971)FEPASA(1971-1998),"Variante Juquiratiba-Botucatu- km 248,500             (1960)"
"Araraquara,SP",13.05.1927,ENGENHEIROROSAMARTINS,E.F.Araraquara(1927-c.1955),"Linha-tronco- km 18,767"
"Caçapava,SP",18.08.1921,ENGENHEIROSÁESILVA,E.F.CentraldoBrasil(1921-1975)RFFSA(1975-1996),"Ramal de São Paulokm             358,153"
"MirantedoParanapanema,SP",15.02.1961,ENGENHEIROSANJUAN,E.F.Sorocabana(1961-1971)FEPASA(1971-c.1988),"Ramal de Dourados-km 825,967 (1986)"
"SãoPaulo,SP",10.09.1920,ENGENHEIROSÃOPAULO,E.F.CentraldoBrasil(1920-1975)RFFSA(1975-c.1985),"Ramal de São Paulo- km             497,314"
"SãoJosédoRioPreto,SP",01.10.1912,ENGENHEIROSCHMITT,E.F.Araraquara(1912-1971)FEPASA(1971-1998),"Linha-troncokm 218,920 (1933)"
"Itatinga,SP",01.09.1953,ENGENHEIROSERRA,E.F.Sorocabana(1953-1971)FEPASA(1971-1998),"Variante Botucatu-Avaré km 316,780             (1960)"
"Cravinhos,SP",01/05/1964,ENGENHEIROSILVAMENDES(antigaE3),Cia.MogianadeEstradasdeFerro(1964-1971)FEPASA(1971-1998),Variante Bento Quirino-Entroncamento-             km 277
"Araçatuba,SP",15.05.1927,ENGENHEIROTAVEIRA,E.F.NoroestedoBrasil(1927-1961),"Linha-tronco originalkm 290,828Ramal de Lussanvirakm 10,546"
